Date,Open,High,Low,Close,Adj Close**,Volume
"Sep 24, 2019",27034,27080,26705,26808,"26,807.77",301750000
"Sep 23, 2019",26851,27011,26831,26950,"26,949.99",204240000
"Sep 20, 2019",27102,27195,26927,26935,"26,935.07",497640000
"Sep 19, 2019",27186,27272,27064,27095,"27,094.79",212360000
"Sep 18, 2019",27075,27162,26899,27147,"27,147.08",212860000
"Sep 17, 2019",27010,27111,26984,27111,"27,110.80",223580000
"Sep 16, 2019",27146,27173,27033,27077,"27,076.82",220620000
"Sep 13, 2019",27217,27278,27194,27220,"27,219.52",255260000
"Sep 12, 2019",27197,27307,27105,27182,"27,182.45",250010000
"Sep 11, 2019",26928,27137,26885,27137,"27,137.04",272590000
"Sep 10, 2019",26806,26909,26717,26909,"26,909.43",322340000
"Sep 09, 2019",26866,26901,26762,26836,"26,835.51",273120000
"Sep 06, 2019",26790,26861,26708,26797,"26,797.46",209700000
"Sep 05, 2019",26603,26836,26603,26728,"26,728.15",256670000
"Sep 04, 2019",26302,26362,26244,26355,"26,355.47",202710000
"Sep 03, 2019",26198,26198,25978,26118,"26,118.02",223210000
"Aug 30, 2019",26476,26515,26296,26403,"26,403.28",216160000
"Aug 29, 2019",26249,26409,26186,26362,"26,362.25",208650000
"Aug 28, 2019",25713,26042,25637,26036,"26,036.10",207070000
"Aug 27, 2019",26014,26054,25722,25778,"25,777.90",263530000
"Aug 26, 2019",25826,25941,25716,25899,"25,898.83",222780000
"Aug 23, 2019",26134,26320,25507,25629,"25,628.90",364260000
"Aug 22, 2019",26272,26389,26099,26252,"26,252.24",222810000
"Aug 21, 2019",26145,26268,26142,26203,"26,202.73",208790000
"Aug 20, 2019",26087,26160,25952,25962,"25,962.44",238100000
"Aug 19, 2019",26020,26222,26020,26136,"26,135.79",252640000
"Aug 16, 2019",25678,25930,25678,25886,"25,886.01",276210000
"Aug 15, 2019",25514,25640,25340,25579,"25,579.39",332600000
"Aug 14, 2019",26035,26035,25472,25479,"25,479.42",352250000
"Aug 13, 2019",25889,26427,25833,26280,"26,279.91",308900000
